Trials
trial_id, epochs, score, loss, learning_rate, batch_size, dropout_1,mean_absolute_error, mean_squared_error, max_error
0, 78, 0.058910, 0.038415, 0.004427, 256, 0.130359, 0.103833, 0.062128, 1.000000
1, 98, 0.065353, 0.044687, 0.003900, 128, 0.182566, 0.105073, 0.060230, 1.000000
2, 40, 0.068774, 0.046081, 0.003443, 256, 0.057733, 0.120715, 0.068742, 1.000000
3, 83, 0.056133, 0.030643, 0.000358, 64, 0.096889, 0.097371, 0.050675, 0.999986
4, 59, 0.077855, 0.067236, 0.008726, 256, 0.116766, 0.147440, 0.080835, 1.000000
5, 58, 0.062581, 0.040561, 0.004311, 256, 0.105580, 0.106595, 0.061305, 1.000000
6, 42, 0.079146, 0.055364, 0.004700, 32, 0.021061, 0.132676, 0.077927, 1.000000
7, 78, 0.063929, 0.030379, 0.000292, 128, 0.016427, 0.121384, 0.064636, 0.999995
8, 47, 0.060497, 0.050794, 0.002335, 128, 0.181700, 0.117746, 0.062298, 0.999999
9, 46, 0.085478, 0.063637, 0.005705, 32, 0.041884, 0.154084, 0.083113, 1.000000
10, 85, 0.056319, 0.029509, 0.000360, 128, 0.058705, 0.100067, 0.054685, 0.999991
11, 103, 0.058907, 0.033082, 0.003263, 256, 0.150047, 0.101700, 0.060819, 1.000000
12, 57, 0.077640, 0.075413, 0.007371, 256, 0.141065, 0.152547, 0.078866, 0.999741
13, 72, 0.083323, 0.065768, 0.009717, 256, 0.091845, 0.141874, 0.079837, 0.999985
14, 59, 0.087853, 0.045583, 0.009563, 64, 0.013741, 0.138571, 0.088798, 1.000000
15, 47, 0.085777, 0.067925, 0.006509, 32, 0.037217, 0.155895, 0.087508, 1.000000
16, 59, 0.075930, 0.067959, 0.006346, 64, 0.178367, 0.141300, 0.075526, 1.000000
17, 81, 0.054104, 0.033589, 0.002830, 64, 0.163599, 0.090344, 0.053780, 1.000000
18, 67, 0.071799, 0.031891, 0.002815, 64, 0.045598, 0.102277, 0.067228, 1.000000
19, 64, 0.083984, 0.079105, 0.009472, 64, 0.099952, 0.159228, 0.086348, 0.999999
20, 98, 0.054007, 0.026694, 0.001534, 512, 0.079641, 0.099715, 0.055498, 1.000000
21, 94, 0.055543, 0.027043, 0.001598, 512, 0.076000, 0.095033, 0.054668, 1.000000
22, 90, 0.053445, 0.036624, 0.001384, 512, 0.162431, 0.102129, 0.053256, 0.999997
23, 117, 0.052849, 0.031308, 0.001282, 512, 0.199747, 0.093601, 0.049304, 1.000000
24, 126, 0.049007, 0.032976, 0.001315, 512, 0.199001, 0.092127, 0.049887, 0.999996
25, 102, 0.055000, 0.040828, 0.001068, 512, 0.198641, 0.106269, 0.054403, 0.999926
26, 131, 0.051936, 0.029622, 0.001986, 512, 0.188399, 0.090378, 0.050211, 1.000000
27, 82, 0.058214, 0.044481, 0.002201, 512, 0.195000, 0.111911, 0.057730, 0.999982
28, 77, 0.055079, 0.035536, 0.002168, 512, 0.127943, 0.100506, 0.054860, 0.999999
29, 69, 0.063594, 0.043647, 0.005335, 512, 0.159189, 0.110380, 0.062651, 1.000000
Best model
{'batch_size': 4, 'dropout_rate': 0.19900120256111326, 'lr': 0.0013153590836397764}
