Trials
trial_id, epochs, score, loss, learning_rate, batch_size, dropout_1,mean_absolute_error, mean_squared_error, max_error
0, 35, 0.041725, 0.024724, 0.004427, 128, 0.130359, 0.081953, 0.042553, 0.999979
1, 53, 0.038551, 0.025398, 0.003900, 64, 0.182566, 0.080898, 0.045720, 0.999984
2, 61, 0.038465, 0.011362, 0.003443, 128, 0.057733, 0.067004, 0.042385, 1.000000
3, 67, 0.038883, 0.017723, 0.000358, 32, 0.096889, 0.083665, 0.043634, 0.999060
4, 33, 0.053652, 0.047722, 0.008726, 128, 0.116766, 0.111752, 0.055749, 0.999969
5, 53, 0.042356, 0.017179, 0.004311, 64, 0.105580, 0.071652, 0.045480, 1.000000
6, 32, 0.057534, 0.020711, 0.004700, 16, 0.021061, 0.092219, 0.056093, 1.000000
7, 83, 0.043428, 0.013327, 0.000292, 64, 0.016427, 0.083086, 0.040867, 0.992988
8, 79, 0.035714, 0.018811, 0.002335, 128, 0.181700, 0.068162, 0.036300, 0.999956
9, 39, 0.042840, 0.020886, 0.005705, 32, 0.041884, 0.088215, 0.058687, 0.999999
10, 92, 0.037254, 0.015192, 0.000360, 64, 0.058705, 0.081679, 0.042859, 0.999472
11, 59, 0.039492, 0.018382, 0.003263, 128, 0.150047, 0.075176, 0.044324, 0.999713
12, 49, 0.043431, 0.030452, 0.007371, 128, 0.141065, 0.087784, 0.048653, 0.999906
13, 45, 0.040463, 0.020946, 0.009717, 128, 0.091845, 0.080098, 0.049552, 1.000000
14, 53, 0.053693, 0.015862, 0.009563, 32, 0.013741, 0.081812, 0.058967, 1.000000
15, 40, 0.042800, 0.030025, 0.006509, 16, 0.037217, 0.092207, 0.058779, 0.999999
16, 59, 0.045937, 0.029591, 0.006346, 32, 0.178367, 0.080816, 0.045995, 0.999990
17, 56, 0.036325, 0.023001, 0.002830, 32, 0.163599, 0.076426, 0.043708, 0.999911
18, 53, 0.033944, 0.012440, 0.002815, 32, 0.045598, 0.065173, 0.044871, 1.000000
19, 38, 0.060615, 0.042903, 0.009472, 32, 0.099952, 0.118237, 0.064033, 1.000000
20, 47, 0.040513, 0.015993, 0.001864, 16, 0.083088, 0.072592, 0.048506, 0.999962
21, 55, 0.040786, 0.012778, 0.001737, 32, 0.065067, 0.068183, 0.042705, 0.999726
22, 56, 0.035597, 0.025039, 0.001728, 128, 0.198091, 0.083786, 0.043151, 0.999729
23, 51, 0.028781, 0.015495, 0.001016, 16, 0.073803, 0.071435, 0.043089, 0.999703
24, 37, 0.040449, 0.009129, 0.000847, 16, 0.000742, 0.077216, 0.048851, 0.999979
25, 50, 0.037964, 0.015399, 0.001133, 16, 0.073621, 0.066596, 0.043204, 0.999877
26, 40, 0.039847, 0.018389, 0.002846, 16, 0.041231, 0.079825, 0.049600, 1.000000
27, 33, 0.044391, 0.024425, 0.002201, 16, 0.074690, 0.081972, 0.047589, 1.000000
28, 30, 0.039649, 0.032047, 0.001246, 32, 0.119918, 0.096098, 0.048115, 0.986891
29, 40, 0.054602, 0.020163, 0.005520, 16, 0.033832, 0.078231, 0.057655, 1.000000
Best model
{'batch_size': 0, 'dropout_rate': 0.07380250916813619, 'lr': 0.001015935984436851}
